date,turnover,cost,cash_weight
2026-07-06,0.014552395280305358,2.1828592920458037e-05,0.0
2026-07-07,0.010474751244067201,1.5712126866100803e-05,0.0
2026-07-08,0.009111723441210834,1.3667585161816251e-05,0.0
2026-07-09,0.019836954597266032,2.975543189589905e-05,0.0
2026-07-10,0.018581208227053378,2.787181234058007e-05,0.0
2026-07-13,0.020974548135315504,3.1461822202973256e-05,0.0
2026-07-14,0.015305180318418515,2.2957770477627774e-05,0.0
2026-07-15,0.009713792469897606,1.4570688704846408e-05,0.0
2026-07-16,0.02811003702401907,4.21650555360286e-05,0.0
2026-07-17,0.01788146513428339,2.6822197701425084e-05,0.0
2026-07-20,0.2106789457475292,0.0003160184186212938,0.0
2026-07-21,0.010828954248857714,1.6243431373286572e-05,0.0
2026-07-22,0.2102566801994356,0.0003153850202991534,0.0
2026-07-23,0.01648783706367514,2.473175559551271e-05,0.0
2026-07-24,0.02559470175400723,3.8392052631010845e-05,0.0
2026-07-27,0.016260427553798848,2.4390641330698273e-05,0.0
2026-07-28,0.015705015982893825,2.3557523974340738e-05,0.0
2026-07-29,0.008797330574034867,1.3195995861052301e-05,0.0
2026-07-30,0.22887418545596735,0.00034331127818395103,0.0
2026-07-31,0.017205870596281758,2.5808805894422638e-05,0.0
2026-08-03,0.010407296549059697,1.5610944823589545e-05,0.0
2026-08-04,0.008754001068198902,1.3131001602298354e-05,0.0
2026-08-05,0.012926734188431765,1.939010128264765e-05,0.0
2026-08-06,0.013716804853613887,2.057520728042083e-05,0.0
2026-08-07,0.21278848244561566,0.00031918272366842347,0.0
2026-08-10,0.0061809831979109525,9.27147479686643e-06,0.0
2026-08-11,0.005898639488636392,8.84795923295459e-06,0.0
2026-08-12,0.21067547036598464,0.00031601320554897695,0.0
2026-08-13,0.00946636883073787,1.4199553246106805e-05,0.0
2026-08-14,0.007917992160130047,1.187698824019507e-05,0.0
2026-08-17,0.20639910328074026,0.0003095986549211104,0.0
2026-08-18,0.2268987309701422,0.0003403480964552133,0.0
2026-08-19,0.22498607151645175,0.00033747910727467765,0.0
2026-08-20,0.2231342042469376,0.00033470130637040644,0.0
2026-08-21,0.21977211849299677,0.00032965817773949514,0.0
2026-08-24,0.21145482218389508,0.00031718223327584265,0.0
2026-08-25,0.21213035875235942,0.00031819553812853914,0.0
2026-08-26,0.40993041979522526,0.0006148956296928379,0.0
2026-08-27,0.016458767760236068,2.46881516403541e-05,0.0
2026-08-28,0.015077654363164675,2.261648154474701e-05,0.0
2026-08-31,0.02429372451177346,3.644058676766019e-05,0.0
2026-09-01,0.010725827443266528,1.608874116489979e-05,0.0
2026-09-02,0.21104877574150174,0.0003165731636122526,0.0
2026-09-03,0.006203914879219688,9.305872318829532e-06,0.0
2026-09-04,0.008507604071968516,1.2761406107952775e-05,0.0
2026-09-07,0.010663542522199199,1.5995313783298798e-05,0.0
